"PARK_ID","TYPE","SUMMER_USE","LIGHTS","NAME","ADDRESS"
"1511","Highboard with puddle","","","VALIN (SOUTH FALLINGBROOK COMMUNITY CENTRE & PARK)","998 VALIN DR Cumberland"
"1677","","","","RANCOURT (PROVENCE PARK)","858 SCALA AVE Cumberland"
"324","Puddle Rink","","permanent","RICHELIEU VANIER","300 DES PERES BLANC Vanier"
"0","Double Surface","","permanent","BAYVIEW SCHOOL","3071 RIVERSIDE DR Ottawa"
"1672","Puddle Rink","","","BLACK TERN PARK","53 BLACK TERN CRES Kanata"
"1588","Double Surface","","","CELEBRATION PARK","200 CENTRAL PARK DR Old Ottawa"
"1651","Highboard with puddle","","","BLUE WILLOW PARK","6011 LONGLEAF DR Gloucester"
"1573","Puddle","","","DR. JOHN HOPPS PARK","300 DEN HAAG DR Old Ottawa"
"1129","Puddle Rink","","","GEORGES VANIER SCHOOL","40 VARLEY DR Kanata"
"235","Highboard","","","KATIMAVIK SCHOOL","64 CHIMO DR Kanata"
"0","Highboard with puddle","","","MUTCHMORE SCHOOL","185 FIFTH AVENUE Old Ottawa"
"252","Highboard with puddle","","","NORMAN JOHNSTON SCHOOL","2401 CLEROUX CRES Gloucester"
"141","Double surface","","","REGINA SCHOOL","2599 REGINA STREET Ottawa"
"1031","Puddle","","","RUSSELL BOYD PARK","1735 ST. BERNARD ST Gloucester"
"1633","Puddle","","","SAWYER'S MEADOW PARK","80 SAWYER WAY Kanata"
"1671","Puddle","","","SCISSON'S PARK","96 BRIDLE PARK DR Kanata"
"0","Highboard with puddle","","","ST. GREGORY SCHOOL","148 MEADOWLANDS DR Nepean"
"969","Highboard with puddle","","","GOW PARK (STEPHEN LEACOCK)","9 BEAVERBROOK RD Kanata"
"1615","Puddle","","","W.C. BOWES PARK","1251 HALTON TER Kanata"
"842","Highboard with puddle","","permanent","QUEENSWOOD RIDGE PARK","346 KENNEDY LANE Cumberland"
"1666","Double Surface9no boards)","","","BUTTERFLY PARK","711 LONG POINT CIR Gloucester"
"1663","Puddle","","","MOUNTAIN MEADOWS PARK","3740 MOUNTAIN MEADOWS CRES Gloucester"
